timestamp;tag;avgsentiment;notweets;tweet1;tweet2
[1970-01-23 15:20:35, 1970-01-23 15:20:40];google;0.010879631671640608;18.0;b'RT @hoshiwoojin_: [FULL] SEVENTEEN INCOMPLETE Online Concert\n\nGDRIVE LINK: https://t.co/N5rT0IpYka\n\nPlease do not repost without permisssio\xe2\x80\xa6';b'RT @hoshiwoojin_: [FULL] SEVENTEEN INCOMPLETE Online Concert\n\nGDRIVE LINK: https://t.co/N5rT0IpYka\n\nPlease do not repost without permisssio\xe2\x80\xa6'
[1970-01-23 15:20:35, 1970-01-23 15:20:40];netflix;0.100000003973643;6.0;b'So what c-drama sehun watch on Netflix?';b'RT @RishxMeruem: Anime vs Netflix adaptation https://t.co/Adw3SQExSa'
[1970-01-23 15:20:40, 1970-01-23 15:20:45];google;-0.011111112435658772;15.0;b'E: has gorgeous eyes\nM: intelligent \nM: intelligent \nA: hot';b'RT @Eiggam5955: Again @VoLinxx hits it out of the park. https://t.co/zDmY860gwW'
[1970-01-23 15:20:40, 1970-01-23 15:20:45];netflix;0.07424242388118397;11.0;b'RT @LAVLUXX: Netflix: \xe2\x80\x9c Are you still watching \xe2\x80\x9c\n\nUs: \xe2\x80\x9c Nah, but you can watch us \xe2\x80\x9c https://t.co/329mTgSN8x';"b""Also someone tell Netflix that English people do not say shag as often as they think.\n\nI'm so offended by Winx after one episode"""
[1970-01-23 15:20:45, 1970-01-23 15:20:50];google;-0.0300040858633378;17.0;b'@frombusancult this too !!!';b'RT @rrfjndcmonly: MAICHARD for today!\xf0\x9f\xa5\xb0\n\n@aldenrichards02 @mainedcm \xf0\x9f\x92\x9a\n\nLonger version:\n\xf0\x9f\x94\x97 https://t.co/4Rcm67CB9N\n\n#ALDUBatADNFreeAndEqual ht\xe2\x80\xa6'
[1970-01-23 15:20:45, 1970-01-23 15:20:50];netflix;0.0804292940431171;9.0;b'RT @stcIou: Sehun said he doesn\xe2\x80\x99t usually watch dramas but he watched all of this Chinese show on Netflix yesterday \xf0\x9f\x98\x80 https://t.co/6Tgww6cq\xe2\x80\xa6';"b""RT @mookmanshawty: Shawty Lo's actually"""
[1970-01-23 15:20:50, 1970-01-23 15:20:55];google;-0.10353535413742064;9.0;"b""RT @babygullfy: [ GULF'S BOYFRIENDS PRESSCON GDRIVE ] \n\n\xf0\x9f\x93\x8e : https://t.co/3k3Wd9VPWB\n\n#BEMYBOYFRIENDSCONCERT https://t.co/P4WES0BWIf""";"b""RT @mohana_bts: \xe2\x80\xbc\xef\xb8\x8fATTENTION\xe2\x80\xbc\xef\xb8\x8f\n\nI'LL BE SHARING ALL POSSIBLE LINKS THROUGH MY GOOGLE DOCS FOR STREAMING DAY6 LIVE ONLINE CONCERT &lt;The Arcane\xe2\x80\xa6"""
[1970-01-23 15:20:50, 1970-01-23 15:20:55];netflix;0.1550000011920929;8.0;b'RT @decimoXIV: Anime vs Netflix Adaptation\n\n#AttackOnTitan https://t.co/DKEHqFHVvx';b'@FlawLESSnBr0wn @netflix Told you sister! Shit had me TUNED IN'
[1970-01-23 15:20:55, 1970-01-23 15:21:00];google;0.036329964299996687;15.0;b'RT @OfficialDreeezy: Even Google/Wikipedia recognizes laycon as an a list artist. \n\nYou people are mad\xf0\x9f\x96\x90\xef\xb8\x8f https://t.co/7yeVXe8lzm';b'This trending music game is super addictive \xf0\x9f\x98\x8d fun, exciting and challenging! \xf0\x9f\x92\xa5 \nCheck it Out! \xf0\x9f\x91\x89Tiles Hop\xf0\x9f\x91\x88\xe2\x80\xa6 https://t.co/JrC8GU26Ro'
[1970-01-23 15:20:55, 1970-01-23 15:21:00];netflix;0.008068181946873665;10.0;b'@fefedove I wonder if it is on Netflix ...gotta go look now \xf0\x9f\xa4\xa3';b'RT @TallulahB2012: @Farewell4now @RosaSelvagem93 What does producing docs for Netflix have to do with being a socialite?'
[1970-01-23 15:21:00, 1970-01-23 15:21:05];google;0.0762310597163282;19.0;b'The #Strava leaderboards are spreading! Our first activity has been registered in Rinc\xc3\xb3n de la Victoria, Andalusia,\xe2\x80\xa6 https://t.co/1IC1LSdQ1S';b'someone sent me a post in swedish and the translations for it...google u good? https://t.co/3Ti2cUsGFd'
[1970-01-23 15:21:00, 1970-01-23 15:21:05];netflix;0.105194804923875;7.0;"b""RT @Iebsianism: the way she'll fight netflix with us if maeve and aimee aren't endgame https://t.co/AqqwuFMiN0""";b'good morning to everyone except @netflix for ruining WINX club'
[1970-01-23 15:21:05, 1970-01-23 15:21:10];google;0.028321678248735573;13.0;b'Bitch google my government, but that\xe2\x80\x99s not my name https://t.co/Br3o2aLyof';b'@tysonbrody @edburmila @OsitaNwanevu In 2120 someone is going to be incredulously telling the story of how in the e\xe2\x80\xa6 https://t.co/8Jhki7BrC6'
[1970-01-23 15:21:05, 1970-01-23 15:21:10];netflix;0.10733856819570065;12.0;b'What #WinxSaga did right: The Changeling addition I think worked v well, The dorms/sets, \xe2\x80\x9cFarrah\xe2\x80\x9d(gonda)/Eve Best,\xe2\x80\xa6 https://t.co/FGaB4KC5hj';"b""RT @mookmanshawty: Shawty Lo's actually"""
[1970-01-23 15:21:10, 1970-01-23 15:21:15];google;0.06366793128351371;12.0;"b""RT @tippietoes22: @judyfree10 @Biggy1883 @DonWestley1 @CaraMia200 Ppl and the newspapers, ho hum, are saying it's only the search engine...\xe2\x80\xa6""";b'RT @llenguacatEU: \xe2\x9c\x85 @googlemaps browser is available in Catalan (like other 76 languages around the world).\n\n\xe2\x9d\x8c But our language is complete\xe2\x80\xa6'
[1970-01-23 15:21:10, 1970-01-23 15:21:15];netflix;0.12083333544433117;8.0;b'RT @ambivertlegacy_: Very';b'RT @updatespriyanka: #TheWhiteTiger is in \xe2\x80\x9cTop 10 trending\xe2\x80\x9d in 47 countries including India (#1), Canada (#2) USA (#6), UK (#7)and many mor\xe2\x80\xa6'
